"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","394.95","402.15","406.05","393.45","9.07M","-1.79%"
"12-03-2026","402.15","384.00","407.35","383.45","25.01M","4.25%"
"11-03-2026","385.75","383.00","392.50","382.35","9.68M","1.17%"
"10-03-2026","381.30","375.90","384.15","375.90","7.68M","2.25%"
"09-03-2026","372.90","366.50","374.20","365.15","5.06M","-0.69%"
"06-03-2026","375.50","375.00","385.25","373.10","3.75M","-0.36%"
"05-03-2026","376.85","366.25","378.50","366.25","5.98M","3.01%"
"04-03-2026","365.85","362.30","369.90","362.10","5.71M","-0.68%"
"02-03-2026","368.35","356.00","373.95","356.00","5.65M","-2.44%"
"27-02-2026","377.55","380.40","381.50","376.25","3.20M","-0.75%"
"26-02-2026","380.40","380.80","385.40","378.25","3.19M","-0.22%"
"25-02-2026","381.25","380.00","383.65","376.50","3.12M","0.39%"
"24-02-2026","379.75","377.00","380.45","372.50","3.01M","0.13%"
"23-02-2026","379.25","379.00","381.55","376.80","3.23M","0.33%"
"20-02-2026","378.00","369.30","379.20","369.25","2.84M","2.36%"
"19-02-2026","369.30","379.50","381.75","368.30","3.20M","-2.71%"
"18-02-2026","379.60","378.40","382.15","377.95","2.15M","0.32%"
"17-02-2026","378.40","381.40","384.10","377.00","3.80M","-0.97%"
"16-02-2026","382.10","372.00","384.25","370.90","3.88M","2.14%"
"13-02-2026","374.10","377.00","377.80","370.65","4.44M","-1.69%"
"12-02-2026","380.55","376.20","381.50","371.50","6.06M","1.30%"
"11-02-2026","375.65","370.15","377.40","366.65","3.46M","1.54%"
"10-02-2026","369.95","369.00","370.40","367.65","1.91M","0.34%"
"09-02-2026","368.70","367.00","369.10","365.10","2.82M","0.75%"
"06-02-2026","365.95","364.40","366.55","361.00","2.25M","0.40%"
"05-02-2026","364.50","363.00","366.75","360.70","5.46M","-1.90%"
"04-02-2026","371.55","365.10","372.25","363.60","4.22M","1.77%"
"03-02-2026","365.10","367.30","371.60","364.00","3.76M","1.76%"
"02-02-2026","358.80","355.00","360.55","348.40","3.27M","1.26%"
"01-02-2026","354.35","367.70","372.00","351.65","3.81M","-3.26%"
"30-01-2026","366.30","366.00","367.00","360.10","5.92M","-0.04%"
"29-01-2026","366.45","357.40","367.50","356.50","4.36M","3.21%"
"28-01-2026","355.05","349.00","355.90","348.70","6.89M","2.10%"
"27-01-2026","347.75","345.70","349.95","342.50","3.96M","0.72%"
"23-01-2026","345.25","355.00","355.00","344.10","3.12M","-2.28%"
"22-01-2026","353.30","351.00","354.95","349.80","3.43M","1.13%"
"21-01-2026","349.35","351.95","353.60","346.50","4.07M","-1.02%"
"20-01-2026","352.95","362.45","364.15","351.10","3.14M","-2.82%"
"19-01-2026","363.20","366.10","368.70","362.00","2.28M","-0.79%"
"16-01-2026","366.10","368.00","372.35","364.20","3.73M","-0.35%"
"14-01-2026","367.40","366.40","370.00","366.30","3.08M","-0.28%"
"13-01-2026","368.45","370.60","372.20","365.15","3.24M","-0.58%"
"12-01-2026","370.60","364.80","371.35","360.10","5.59M","1.59%"
"09-01-2026","364.80","373.00","374.00","362.95","5.88M","-2.51%"
"08-01-2026","374.20","380.15","381.85","373.05","3.79M","-1.72%"
"07-01-2026","380.75","386.60","387.90","379.00","4.14M","-1.49%"
"06-01-2026","386.50","388.85","390.45","384.75","3.69M","-0.60%"
"05-01-2026","388.85","392.50","393.00","387.30","3.97M","-1.08%"
"02-01-2026","393.10","381.85","393.65","381.25","13.05M","2.95%"
"01-01-2026","381.85","380.00","382.25","379.00","1.80M","0.59%"
"31-12-2025","379.60","375.00","380.75","374.80","2.08M","1.40%"
"30-12-2025","374.35","376.05","376.90","372.70","1.68M","-0.49%"
"29-12-2025","376.20","379.00","380.30","375.15","2.38M","-0.88%"
"26-12-2025","379.55","378.90","381.90","378.10","2.46M","-0.04%"
"24-12-2025","379.70","382.20","383.70","379.00","5.22M","-0.65%"
"23-12-2025","382.20","380.80","383.50","380.50","2.33M","0.37%"
"22-12-2025","380.80","381.00","382.70","380.00","3.28M","0.07%"
"19-12-2025","380.55","375.05","381.45","373.50","3.88M","1.49%"
"18-12-2025","374.95","377.50","377.65","373.00","3.32M","-0.95%"
"17-12-2025","378.55","379.85","383.30","377.30","2.17M","-0.34%"
"16-12-2025","379.85","381.65","381.90","378.20","2.68M","-0.47%"
"15-12-2025","381.65","380.00","382.40","378.00","3.36M","-0.08%"
"12-12-2025","381.95","382.10","383.60","379.80","6.78M","0.47%"
"11-12-2025","380.15","379.85","382.25","376.20","3.99M","0.08%"
"10-12-2025","379.85","376.75","382.40","376.50","4.91M","0.96%"
"09-12-2025","376.25","373.50","378.35","369.80","2.82M","0.56%"
"08-12-2025","374.15","383.20","385.25","372.30","7.01M","-2.69%"
"05-12-2025","384.50","385.00","386.00","380.55","5.33M","0.01%"
"04-12-2025","384.45","383.60","386.85","382.00","3.79M","0.21%"
"03-12-2025","383.65","387.20","389.10","382.30","3.89M","-1.24%"
"02-12-2025","388.45","387.10","389.15","385.90","3.30M","-0.33%"
"01-12-2025","389.75","390.65","393.00","386.70","3.42M","-0.09%"
"28-11-2025","390.10","392.20","393.95","389.40","3.76M","-0.50%"
"27-11-2025","392.05","392.40","399.95","391.50","7.41M","0.14%"
"26-11-2025","391.50","380.50","392.00","380.30","4.92M","3.03%"
"25-11-2025","380.00","383.00","383.65","379.00","4.24M","-0.67%"
"24-11-2025","382.55","390.00","391.50","381.20","5.82M","-1.15%"
