rsi,macd,sma_ratio,volume_change,volatility,target
42.12014423864942,0.0,0.9492660633882856,-0.09523809523809523,0.02279974950137442,0.007284099681320599
42.12014423864942,0.5871225071224444,0.9492660633882856,-0.09523809523809523,0.02279974950137442,-0.0016211754996168226
42.12014423864942,0.9088039869805016,0.9492660633882856,-0.1478696741854637,0.02279974950137442,-0.00559967720665655
42.12014423864942,0.6965737619465244,0.9492660633882856,-0.14411764705882357,0.02279974950137442,-0.003028383674438917
42.12014423864942,0.2782557934789338,0.9492660633882856,0.3127147766323024,0.02279974950137442,0.009033333995116077
42.12014423864942,0.6732687151242089,0.9492660633882856,-0.060209424083769614,0.02279974950137442,-0.03405871241932945
42.12014423864942,-1.7866302062662953,0.9492660633882856,0.4651810584958218,0.02279974950137442,-0.007638563542663901
42.12014423864942,-4.291831581073438,0.9492660633882856,-0.017110266159695797,0.02279974950137442,-0.05523625764604467
42.12014423864942,-10.499019762690637,0.9492660633882856,1.8665377176015472,0.02279974950137442,-0.03792339279118773
42.12014423864942,-18.0273977424456,0.9492660633882856,-0.12618083670715252,0.02279974950137442,0.012273748630918124
42.12014423864942,-22.85313664120008,0.9492660633882856,0.4193050193050194,0.02279974950137442,0.037267150027886276
42.12014423864942,-23.70836641496851,0.9492660633882856,-0.06256800870511425,0.027127346049659155,0.003957372218816868
42.12014423864942,-23.814676164616458,0.9492660633882856,-0.6221706326175276,0.027344512346010073,0.02848145331462404
42.12014423864942,-21.50543535690906,0.9492660633882856,0.8494623655913978,0.029711543229484584,0.012268532983399139
42.12014423864942,-18.51140981973765,0.9492660633882856,-0.10382059800664456,0.030196262873617024,-0.003230585620807469
39.79234425819367,-16.205191409478175,0.9492660633882856,-0.42261353104726596,0.02989365658672822,-0.0041390557585517795
39.404575109422744,-14.533536627542958,0.9492660633882856,-0.0738362760834671,0.028032966175179412,0.00020729470051095156
40.40305885335248,-13.042256822578906,0.9492660633882856,-0.3830155979202773,0.02794837809044707,-0.0068496699516067405
39.80602730602732,-12.252538948916708,0.9492660633882856,-0.297752808988764,0.02068421750424443,-0.01714315525876453
34.95173082360546,-12.804839316287712,0.9492660633882856,0.968,0.0166239442528833,-0.0028132530760002217
40.13450834879408,-13.30302519595125,0.9492660633882856,-0.1747967479674798,0.016706899855891733,-0.02045096452753059
38.06695701904888,-15.074161994024394,0.9492660633882856,0.2586206896551726,0.013994094212897414,0.0035647911662735066
50.8061322622617,-16.02836704101594,0.9492660633882856,0.007827788649706457,0.013979274472029676,0.013970261752888735
66.36727836650294,-15.564244305285456,0.9492660633882856,0.24077669902912624,0.011017020181900686,-0.04532783646092553
